ID,Average Speed (km/h),Waiting Time,Speed Factor
12,22.106548672566372,0.0,0.96
4,29.528653846153848,0.0,1.06
13,26.718157894736844,0.0,1.04
28,8.348571428571429,0.0,0.97
19,25.74406015037594,0.0,0.95
14,31.562152466367714,0.0,1.23
39,0.0,0.0,1.14
5,31.50044444444444,0.0,1.15
27,38.615478260869565,0.0,1.0
15,26.882270270270276,0.0,1.01
41,24.69882352941177,0.0,1.08
1,30.280350262697016,0.0,1.1
3,28.977400722021663,0.0,1.02
17,26.61739534883721,0.0,1.02
0,34.57456310679612,0.0,0.94
37,13.662972972972973,7.0,1.08
61,24.45902912621359,0.0,1.03
26,35.73580041580042,0.0,0.89
8,34.823299270073,0.0,1.12
2,26.827659574468086,2.4,1.03
11,30.729729729729737,0.0,1.07
30,28.704836065573772,0.0,0.96
62,30.097278106508877,0.0,1.03
18,30.182675159235668,0.7,1.0
16,34.29224011713031,0.0,1.12
34,32.71789473684211,0.0,1.06
24,31.407833065810596,0.0,0.73
31,35.154315789473685,2.1,1.0
52,27.39317406143345,0.2,0.89
50,26.688797953964194,2.4,1.09
23,36.889970674486804,0.0,1.13
20,26.001772853185596,7.7,1.11
81,22.493571428571432,0.0,0.87
21,22.72052631578947,22.4,1.16
9,20.04721387283237,26.2,1.01
82,30.097278106508877,0.0,1.03
33,18.632386895475822,12.4,0.93
47,34.47977528089888,0.0,1.03
10,19.385900552486188,26.1,1.03
73,25.342978723404258,3.1,1.07
29,14.835708154506438,24.0,1.04
40,30.945283018867926,0.4,0.88
54,33.74019801980198,0.0,0.96
51,36.90232044198895,0.0,0.9
69,26.095135135135138,0.0,0.97
96,27.661153846153844,0.0,0.97
22,30.63718309859155,2.0,0.94
46,21.02755980861244,8.9,1.0
106,0.0,0.0,1.24
70,26.964651162790698,0.0,0.9
32,29.68326114649681,0.0,1.07
100,37.282909090909094,0.0,1.0
92,41.5968472906404,0.0,1.0
36,16.43552699228792,20.7,1.18
95,48.203809523809525,0.0,1.09
64,31.019640718562876,0.0,0.94
57,23.149165247018736,24.5,1.03
48,19.070553935860058,16.6,0.98
56,20.893529411764703,10.2,1.09
60,36.048,0.0,1.1
44,31.10625,0.0,1.05
6,21.059379310344827,32.3,1.03
58,24.594493670886074,0.0,1.08
49,35.43538873994638,0.1,0.94
76,26.694864300626303,0.0,1.03
87,27.322914572864324,0.0,0.97
107,44.102713567839196,0.0,1.11
25,34.88666666666667,0.0,1.14
89,24.792923076923074,0.1,0.98
84,29.997079646017696,0.0,1.07
75,25.800645161290326,0.0,0.84
90,32.97807692307692,0.0,1.1
65,50.37428571428571,0.0,0.92
94,23.645249999999997,0.0,0.83
133,36.24,0.0,0.98
129,33.603096774193546,0.0,1.11
137,28.056623376623378,0.0,1.3
72,29.98514131897712,0.0,1.1
38,25.177582417582418,2.5,0.91
86,40.46283870967742,0.0,1.0
7,26.09478445229682,0.0,0.82
35,28.78042780748663,10.9,1.12
53,32.51186234817814,0.0,1.14
105,27.08636942675159,0.0,0.97
66,41.023796477495104,0.0,1.08
45,35.19049723756906,0.0,0.91
91,16.651437699680514,26.0,1.04
110,48.63242494226329,0.0,1.04
68,29.865979381443303,0.0,0.97
149,21.09272727272727,0.0,1.26
152,23.42666666666667,0.0,1.05
127,23.365301204819275,2.2,1.04
71,22.19043189368771,13.5,0.93
113,32.149565217391306,0.3,1.15
59,28.230463320463322,4.2,1.06
55,29.927377201112137,0.0,0.92
42,29.556534653465352,7.8,0.99
117,25.210308370044057,0.0,0.88
74,29.729234338747105,12.6,1.0
103,24.346944,4.0,1.06
153,15.002526315789474,1.0,0.98
101,29.804210526315796,0.0,1.15
43,29.357428571428574,4.5,1.13
119,29.39214953271028,0.2,1.13
116,32.699562043795616,0.0,1.04
121,28.95448818897638,5.3,1.01
147,25.04290909090909,0.0,0.92
63,33.02710714285715,0.0,1.08
170,16.51885714285714,0.0,0.97
112,23.03763157894737,3.8,0.97
80,23.238850102669407,9.0,0.95
123,29.257905405405406,0.0,0.99
122,26.91582089552239,0.0,0.97
108,31.469604221635887,1.5,1.09
126,38.264636678200695,0.0,0.97
77,34.770111524163575,0.0,0.87
98,31.03720183486238,2.3,1.07
130,26.88831683168317,4.7,0.93
134,30.004067796610173,0.0,0.88
139,25.15614931237721,0.0,0.84
114,18.73458823529412,11.1,0.91
173,40.15011235955056,0.0,1.14
148,30.32632653061225,0.0,0.96
132,12.197749196141478,36.6,0.99
162,25.064720496894406,0.0,0.95
88,29.755384615384617,0.0,0.96
120,26.580237154150193,0.0,0.95
97,16.79330472103004,22.6,1.07
140,21.471118760757314,0.0,0.75
109,19.93021276595745,28.9,0.99
144,31.727608695652176,0.0,1.13
141,31.574154929577467,0.0,1.13
189,26.702727272727277,0.0,1.05
99,22.941121856866534,13.9,0.91
151,29.07586206896552,0.0,0.87
176,36.5231654676259,0.0,1.1
136,32.59487179487179,0.0,0.96
186,44.24493506493506,0.0,1.06
159,25.830976138828632,0.0,0.97
146,30.920896551724137,0.0,0.98
199,30.281684210526315,0.0,1.13
124,24.296819787985864,10.4,1.02
79,14.8008,41.2,0.83
195,49.24605405405405,0.0,1.15
198,16.07128491620112,0.0,1.18
142,31.06153846153847,0.0,1.04
210,21.624,0.0,0.96
102,24.292675324675326,10.2,0.84
172,36.995248380129595,0.0,1.09
197,23.174237288135597,0.0,0.98
83,27.17880969875092,13.2,1.11
67,25.78124753775443,22.8,0.89
187,31.574785100286537,0.0,0.99
161,39.90195439739414,0.0,1.08
78,34.738144329896905,0.0,1.06
104,30.172333058532566,0.0,1.02
111,26.61005199306759,11.1,1.14
181,34.13987315010571,0.0,0.94
160,25.20978540772532,13.8,0.99
204,35.116956521739134,0.0,0.94
85,24.870878148400273,1.3,1.02
182,45.39037037037037,0.2,0.98
196,34.74096256684492,0.0,1.13
143,47.931653888280394,0.0,0.96
203,22.029056603773586,0.0,0.82
184,34.0942802303263,0.0,0.98
156,28.47231920199501,0.0,0.87
193,16.954660831509845,14.8,1.07
202,23.241089918256133,0.0,0.87
163,25.906335078534028,11.9,1.02
230,20.604375,0.0,1.02
145,23.02523659305994,13.9,0.96
178,38.70116504854369,0.5,0.98
205,23.36847457627119,0.0,1.01
201,30.119999999999997,0.2,0.87
118,15.422880390561433,29.2,1.1
214,27.070615384615383,0.0,1.18
224,28.0454794520548,0.0,0.98
169,35.613913043478256,0.0,1.19
183,14.27380073800738,14.2,1.04
125,22.716289027653882,5.7,1.01
157,12.011553610503281,37.5,1.21
93,14.928760806916426,28.1,1.1
115,25.058245105148657,17.3,0.96
131,24.465425101214574,0.0,0.88
227,22.88653846153846,0.0,0.82
154,20.56457142857143,9.4,0.85
167,29.066086956521737,5.4,0.89
135,18.413408179631116,19.8,0.71
190,19.26808988764045,11.1,0.9
188,33.77904,0.0,0.99
175,36.19146368715084,0.0,0.96
207,18.954216867469878,7.7,0.95
192,45.798598382749326,0.0,1.11
128,24.7663125,2.4,1.14
229,37.65047619047619,0.0,0.9
253,26.362,0.0,0.91
194,17.89241379310345,11.0,1.21
179,33.81233684210527,0.0,1.16
150,29.91679873217116,0.0,0.97
155,25.724200164068908,19.0,0.97
259,22.815505617977525,0.0,0.84
211,17.097876106194693,13.0,1.02
258,11.673084112149533,8.0,0.92
168,14.555017793594306,44.0,1.1
177,23.39479768786127,14.1,0.98
200,22.806180904522613,4.8,1.16
219,20.127744,9.8,1.17
209,35.12052631578947,0.0,0.9
226,24.820389105058368,2.2,1.11
216,32.821935483870966,1.4,1.16
171,25.955778364116096,12.1,0.97
174,22.88089285714286,40.3,1.05
245,28.829423076923078,0.0,1.12
217,33.957052023121385,0.0,1.02
